"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\danie\Desktop\Programacion\Personal\Portafolio\Frontend\src\pages\Main.tsx", "TypeScript JSX", 0, 0, 1, 1
"Total", "-", 0, 0, 1, 1
